dataset	installation
Arctic Ocean microbial metagenomes sampled aboard CGC Healy during the 2015 GEOTRACES Arctic research cruise	ANTABIF IPT
Arctic multi-year sea ice Bacteria	ANTABIF IPT
Argentina–Chile National Geographic Pristine Seas Expedition To The Antarctic Peninsula - Deep Sea Cam Data	ANTABIF IPT
Associated microbiome (Bacteria and Fungi) in Antarctic sea stars (healthy versus exhibiting epidermal disease)	ANTABIF IPT
Asteroids from French subantarctic islands: records from the Marion Dufresne MD03 expeditions	ANTABIF IPT
Asteroids, ophiuroids and holothurians from the South-Eastern Weddell Sea (Southern Ocean)	ANTABIF IPT
BCCM/ULC Cyanobacteria culture collection at the University of Liège (ISO9001 certified)	ANTABIF IPT
Bacteria (16S ssu rRNA) in an Antarctic snow sample	ANTABIF IPT
Bacteria (16S) and Eukaryotes (18S) from the Sor Rondane Mountains (East Antarctica)	ANTABIF IPT
Bacteria (16S) in Antarctic terrestrial soils of the Sor Rondane Mountains	ANTABIF IPT
Bacteria (16S) in growth laminae of a large conical mats from Lake Untersee, East Antarctic	ANTABIF IPT
Bacteria and Archaea biodiversity in Arctic and Subarctic terrestrial ecosystems in Alaska	ANTABIF IPT
Bacteria and Archaea biodiversity in Arctic terrestrial ecosystems affected by climate change in Northern Siberia	ANTABIF IPT
Bacteria and Archaea biodiversity in terrestrial ecosystems of Chilean Patagonia	ANTABIF IPT
Bacteria and Archaea in different soil types on King George Island (South Shetland Islands, Antarctica)	ANTABIF IPT
Bacteria and chlorophyll-a water column observations (surface to ~150m), April-August 2001, Continental Margin Western Antarctic Peninsula, GLOBEC	ANTABIF IPT
Bacteria from Penguin Guano, Antarctica	ANTABIF IPT
Bacteria in Antarctic glacial foreland soils	ANTABIF IPT
Bacteria on mummified seals in the Antarctic Dry Valleys	ANTABIF IPT
Bacterial Diversity Assessment in Antarctic Terrestrial and Aquatic Microbial Mats	ANTABIF IPT
Bacterial community during Phaeocystis antarctica blooms (Amundsen Sea polynya)	ANTABIF IPT
Bacterial diversity in closed cryoconite holes in Southern Victoria Land (Antarctica)	ANTABIF IPT
Bacterial in the Amundsen Sea Polynya (Southern Ocean): community composition in environmental samples and mesocosm experiment	ANTABIF IPT
Bacterioplankon from lakes on Byers Peninsula (2008)	ANTABIF IPT
Bacterioplankton in surface waters off the northern tip of the Antarctic Peninsula	ANTABIF IPT
Benthic microbial communities (Bacteria, 16S) of coastal terrestrial and ice shelf Antarctic meltwater ponds	ANTABIF IPT
Biogeographic distribution of Antarctic and sub-Antarctic Cumacea	ANTABIF IPT
Biogeographic distribution of Antarctic and sub-Antarctic Mysida	ANTABIF IPT
Biogeographic distribution of the Antarctic and Sub-Antarctic brachiopods (living forms)	ANTABIF IPT
Biopearl expedition: SeaStars (Echinodermata, Asteroidea)	ANTABIF IPT
Bryozoa collection of the Italian National Antarctic Museum (MNA) - Data	ANTABIF IPT
CCAMLR historic KRILL	ANTABIF IPT
CEAMARC Eastern Antarctic Gelatinous Mesozooplankton (Cnidaria and Ctenophora)	ANTABIF IPT
Carotenoid producing bacteria from Antarctica	ANTABIF IPT
Circumpolar dataset of sequenced specimens of Promachocrinus kerguelensis (Echinodermata, Crinoidea)	ANTABIF IPT
Collections data on ecology of bottom animal of the Southern ocean	ANTABIF IPT
Community diversity in microbial eukaryotes from lakes in the the Vestfold Hills, Antarctica	ANTABIF IPT
Cyanobacteria in microbial mats from Antarctic lakes	ANTABIF IPT
DNA metabarcoding of the prey and microbiome of museum specimen Antarctic trematomid fishes	ANTABIF IPT
Distribution records of Amphipoda based on the collection stored at the Italian National Antarctic Museum (MNA)	ANTABIF IPT
Distributional records of Ross Sea (Antarctica) planktonic Copepoda from bibliographic data and samples curated at the Italian National Antarctic Museum (MNA)	ANTABIF IPT
Distributional records of sea cucumbers (Echinodermata, Holothuroidea) based on the collection stored at the Italian National Antarctic Museum (MNA, section of Genoa)	ANTABIF IPT
EPOS3: SeaStars (Echinodermata, Asteroidea)	ANTABIF IPT
East Weddell Sea echinoids from the JR275 expedition	ANTABIF IPT
Echinoids_Kerguelen_Plateau_1872_2015	ANTABIF IPT
Echinoids_occurrences_Southern_Ocean	ANTABIF IPT
Epipelagic mesozooplankton distribution and abundance in Southern Ocean Atlantic sector and the North Atlantic and Arctic 1996-2013	ANTABIF IPT
Evidence of a Vulnerable Marine Ecosystem documented via tourist submarine off Cape Well-Met, Vega Island, Eastern Antarctic Peninsula (Subarea 48.1) - data	ANTABIF IPT
Fungal communities (ITS) in Antarctic brines.	ANTABIF IPT
Fungi (LSU) in soils from the South Shetland island, Antarctic Peninsula island, and Union Glacier	ANTABIF IPT
Geomicrobiology of Antarctic Subglacial Environments - Subglacial Lake Whillans	ANTABIF IPT
Geothermal Fumarole Subsurface Mt. Erebus, Antarctica	ANTABIF IPT
Global biogeography of desert cyanobacteria	ANTABIF IPT
Gut content of Antarctic krill Euphausia superba from the West Antarctic Peninsula	ANTABIF IPT
Heterotrophic bacterial diversity in aquatic microbial mat communities from Antarctica	ANTABIF IPT
High gene flow in polar cod (Boreogadus saida) from West-Svalbard and the Eurasian Basin - Occurrence Data	ANTABIF IPT
Hypolithic and soil bacteria in Miers_Valley, Antarctica	ANTABIF IPT
ITS samples from the air and snow of Livingston Island	ANTABIF IPT
Icota - Pelagant	ANTABIF IPT
Improving Species-Based Area Protection in Antarctica - data	ANTABIF IPT
In situ observations of Stygiomedusa gigantea	ANTABIF IPT
Inter-Valley Soil Comparative Survey of the McMurdo Dry Valleys	ANTABIF IPT
Invertebrates from the ANTARXXVII Leg1 expedition to the Bransfield Strait, Antarctica - data	ANTABIF IPT
Isopoda of the Southern Ocean: New Records from the Ross Sea Area by the National Antarctic Museum (MNA) Genoa Section	ANTABIF IPT
KRILLBASE_antarctickrillssalpsdensity_1926_2016	ANTABIF IPT
Krill abundance, vertical and horizontal distribution (MOCNESS system), April-June 2001-02, continental margin west of Antarctic Peninsula, GLOBEC.	ANTABIF IPT
Lissarca notorcadensis BAS CAML	ANTABIF IPT
MNA (Section of Genoa) - Marine Biological Samples	ANTABIF IPT
MNA (Section of Genoa) and NIWA Invertebrate Collection - Ross Sea Tanaidacea	ANTABIF IPT
MNA (Section of Genoa) associated collection of CCFEE (Tuscia University) - Antarctic Fungi	ANTABIF IPT
MNA CIBAN Italian Antarctic Bacterial Culture Collection	ANTABIF IPT
MNA Italica 2004_Rauschert dredge_Ross_sea_Mollusca_lgp	ANTABIF IPT
Macrozooplankton concentrations estimated from MOCNESS tow samples, Continental Margin Western Antarctic Peninsula, GLOBEC	ANTABIF IPT
Mamíferos marinos en las expediciones del INACH	ANTABIF IPT
Marine bacterial, archaeal and eukaryotic microbial communities on the continental shelf of the western Antarctic Peninsula	ANTABIF IPT
Marine bacterioplankton community structure in the vicinity of Antarctic icebergs	ANTABIF IPT
Marine birds and mammals of the Southern Ocean (a census for the CAML)	ANTABIF IPT
Marine_ microbial eukaryotes (18S) from the Ross Sea (Antarctica)	ANTABIF IPT
Maritime and Sub-Antarctic microbial soil fungi communities	ANTABIF IPT
Metagenome assembly of an Amundsen Sea (Antarctica, Southern Ocean) water sample	ANTABIF IPT
Metatranscriptome from microbial mats in Arctic and Antarctic polar tundra environments	ANTABIF IPT
Microbes (16S and 18S rRNA genes) from benthic Antarctic sediments	ANTABIF IPT
Microbes (Eukaryotes and Archaea) in sea water from Fildes Peninsula (King George Island, Antarctica)	ANTABIF IPT
Microbial (16S) diversity in sediments of the former subglacial Hodgson lake (Antarctica)	ANTABIF IPT
Microbial (Bacteria, 16S) Diversity in Antarctic marine sediments (Admiralty Bay and Bransfield Strait)	ANTABIF IPT
Microbial Fungi in soils on different Sub-Antarctic islands	ANTABIF IPT
Microbial communities (Bacteria and Archaea) in Lake Fryxell (Antarctica) along an oxygen gradient	ANTABIF IPT
Microbial communities (Bacteria, Eukaryotes and Fungi) in Arctic, Antarctic and Sub-Antarctic lacustrine biofilms	ANTABIF IPT
Microbial communities (Eukaryotes and Bacteria) of transiently wetted vs. arid Antarctic Dry Valley soils	ANTABIF IPT
Microbial communities in colored snow from Fildes Peninsula (King George Island, Maritime Antarctica, 2017)	ANTABIF IPT
Microbial diversity (Bacteria and Archaea 16S rRNA gene) in geothermal sites of Deception Island volcano, Antarctica	ANTABIF IPT
Microbial fungal communities (18S) of Antarctic Dry Valley lakes	ANTABIF IPT
Microbial metabarcoding surveys (Bacteria, Archaea and Eukaryota) of the arctic marine environment	ANTABIF IPT
Microbial population dynamics along a terrestrial Antarctic moisture gradient	ANTABIF IPT
Microbial soil Fungi (ITS2) diversity from Maritime Antarctica	ANTABIF IPT
Microbiome (Archaea, Bacteria and Eukaryota) of lake Fryxell and lake Bonney (McMurdo Dry Valleys, Antarctica)	ANTABIF IPT
Microbiome (Archaea, Bacteria and Fungi) in soils from King George Island (Antarctica)	ANTABIF IPT
Microbiome (Bacteria, Archaea and fungi) from University Valley Permafrost cores (Antarctica)	ANTABIF IPT
Microbiome diversity in the Sør Rondane Mountains, East Antarctica	ANTABIF IPT
Microorganisms (Bacteria 16S; Eukaryota 18S) from soil crusts in polar (Arctic and Antarctic) ecosystems	ANTABIF IPT
Microorganisms (Bacteria and Archaea) in the marine cavity beneath the McMurdo Ice Shelf, Antarctica	ANTABIF IPT
Microorganisms (Bacteria, Archaea and phototroph eukaryotes) from Fildes Bay, King George Island, Antarctica	ANTABIF IPT
Microorganisms (eukaryote and bacteria) in Antarctic cryoconite holes.	ANTABIF IPT
Microorganisms in Paleomats at the shores of lake Vanda, Antarctica	ANTABIF IPT
Microorganisms in frost flowers on young Arctic sea ice, comparison between different ice types	ANTABIF IPT
Mitochondrial lineages in the Antarctic sea slug Doris kerguelenensis	ANTABIF IPT
Mollusca collected by Agassiz trawl from the 2016 SO-AntEco Expedition to the South Orkney Islands, Antarctica - data	ANTABIF IPT
Museo Argentino de Ciencias Naturales (MACN), Buenos Aires: sea stars collection (Asteroidea, Echinodermata)	ANTABIF IPT
Myctobase, a circumpolar database of mesopelagic fishes for new insights into deep pelagic prey fields - data	ANTABIF IPT
Near‐shore microbial communities (Eukaryotes, Bacteria and Archaea) of the sub‐Antarctic Prince Edward Islands	ANTABIF IPT
Nemertina World Checklist	ANTABIF IPT
New Zealand Terrestrial Biocomplexity Survey	ANTABIF IPT
Palmer LTER 2014 cruise microbial Eukaryote (18s) plankton	ANTABIF IPT
Pelagic microbes (Eukaryote 18S and Material 16S amplicons) from sites in the Southern, Indian and Arctic Oceans	ANTABIF IPT
Penguins of Antarctica	ANTABIF IPT
Photodocumentation_of_Antarctic_Peninsula_Lichens	ANTABIF IPT
Planktonic, benthic and sympagic copepods collected in the desalination unit during the XXXIVth Expedition of the Italian National Antarctic Program (PNRA)	ANTABIF IPT
PolE At Sea Observations of Birds and Marine Mammals during PS 81 (ANT-XXIX/4)	ANTABIF IPT
Porifera collection of the Italian National Antarctic Museum (MNA) - Data	ANTABIF IPT
Promachocrinus kerguelensis	ANTABIF IPT
Protist diversity in a permanently ice-covered Antarctic Lake during the polar night transition	ANTABIF IPT
RNA-Virome (RNA shotgun sequencing) from lake Limnopolar on Livingston Island (Antarctica)	ANTABIF IPT
Ross Sea Pycnogonids	ANTABIF IPT
SCAR Biogeographic Atlas of the Southern Ocean - Antarctic free-living marine Nematodes - Data	ANTABIF IPT
SCAR Biogeographic Atlas of the Southern Ocean - Benthic Hydroids (Cnidaria: Hydrozoa) - data	ANTABIF IPT
SCAR Biogeographic Atlas of the Southern Ocean - Benthic Ostracoda - Data	ANTABIF IPT
SCAR Biogeographic Atlas of the Southern Ocean - Lophogastrida and Mysida (Crustacea: Malacostraca: Peracarida) of the Southern Ocean - Data	ANTABIF IPT
SCAR Biogeographic Atlas of the Southern Ocean - Porifera - Data	ANTABIF IPT
SCAR Biogeographic Atlas of the Southern Ocean - Tanaidacea - Data	ANTABIF IPT
SCAR Biogeographic Atlas of the Southern Ocean - Tintinnid Ciliates of the Southern Ocean - Data	ANTABIF IPT
SCAR Biogeographic Atlas of the Southern Ocean - foraminifera- Data	ANTABIF IPT
SCAR Biogeographic Atlas of the Southern Ocean - macroalgae - Data	ANTABIF IPT
SCAR Biogeographic Atlas of the Southern Ocean -Harpacticoida (Crustacea: Copepoda)	ANTABIF IPT
SO-Polylist	ANTABIF IPT
SOMBASE – Southern Ocean mollusc database: a tool for biogeographic analysis in diversity and evolution	ANTABIF IPT
SOVIET ANTARCTIC EXPEDITIONS for Zooplankton (R.V. OB March-May 1956, January-March 1957;R.V.ACADEMIC KURCHATOV, October 1971-January 1972; RV DMITRY MENDELEEV;R.V.ACADEMIC IOFFE 1992).	ANTABIF IPT
Sea cucumbers (Echinodemata, Holothuroidea) from the JR275 expedition to the Eastern Weddell Sea, Antarctica - Data	ANTABIF IPT
Sea spiders (Arthropoda, Pycnogonida) from ten recent research expeditions to the Antarctic Peninsula, Scotia Arc and Weddell Sea - data	ANTABIF IPT
Sequenced genes (ureC gene) and a metagenome from Archaea in Arctic and Antarctic marine environments	ANTABIF IPT
Soil microbiome (Bacteria) on Keller Peninsula (Antarctica)	ANTABIF IPT
South American Antarctic Marine Biodiversity Literature	ANTABIF IPT
Southern Ocean Cnidarian Collections	ANTABIF IPT
Southern Ocean Experimental Metatranscriptome to Investigate Micronutrient Colimitation	ANTABIF IPT
Southern Ocean Ostracoda (except Halocypridina)	ANTABIF IPT
Southern Ocean microbial dataset	ANTABIF IPT
Southern Ocean octopus	ANTABIF IPT
Southern Ocean oligochaete occurrence data - a literature-based compilation	ANTABIF IPT
Stable isotope ratios and elemental contents of C, N and S in benthic organisms sampled during the PROTEKER 5 summer campaign in Kerguelen Islands (2016) - data	ANTABIF IPT
Stable isotope ratios of C, N and S in Southern Ocean sea stars (1985-2017)	ANTABIF IPT
Staying cool also has consequences: increased sea ice cover disrupts food web structure in East Antarctica-Data	ANTABIF IPT
Surface and deep marine bacterial communities in the Arctic and Antarctic	ANTABIF IPT
Synoicum adareanum microbiome	ANTABIF IPT
Tagged Seal Location Data from SOGLOBEC	ANTABIF IPT
The Belgica 121 expedition to the Western Antarctic Peninsula: a high resolution biodiversity census	ANTABIF IPT
The First Comprehensive Description of the Biodiversity and Biogeography of Antarctic and Sub-Antarctic Intertidal Communities	ANTABIF IPT
The Register of Antarctic Marine Species	ANTABIF IPT
The Retrospective Analysis of Antarctic Tracking (Standardised) Data from the Scientific Committee on Antarctic Research	ANTABIF IPT
The skin microbiome (based on 16S) of Antarctic Humpback whales (Megaptera novaeangliae)	ANTABIF IPT
V3-V4 16S rDNA of soil bacteria in King George Island and Deception Island	ANTABIF IPT
Vulnerable Marine Ecosystem Indicator Taxa recorded by submarine as evidence of the presence of Vulnerable Marine Ecosystems, Antarctic Peninsula - data	ANTABIF IPT
Walter Herwig 1978 (FFS): SeaStars (Echinodermata, Asteroidea)	ANTABIF IPT
Weddell Sea macrozoobenthos EASIZ I	ANTABIF IPT
Western Antarctic Peninsula Bacteria (Mesocosm exp.)	ANTABIF IPT
Winter Picoplankton Diversity and Distribution in the US Antarctic Marine Living Resources Study Area - Northern Antarctic Peninsula	ANTABIF IPT
Zooplankton Abundance Based on Taxa and Life Stages or Size	ANTABIF IPT
Zooplankton abundance and population structures assessed during April-September of 2001-2, Southern Ocean, GLOBEC	ANTABIF IPT
algal_mat_microbiome_east_antarctica	ANTABIF IPT
amundsen_sea_molluscs	ANTABIF IPT
benthic communities bacterial in Antarctica and the arctic	ANTABIF IPT
cyanobacterial mats of from the Byers Peninsula, Antarctica	ANTABIF IPT
fumarolic microbial communities at Tramway Ridge, Mt. Erebus, Antarctica	ANTABIF IPT
microbial Eukaryotes in lakes along an Argentinian-Antarctic geographical gradient	ANTABIF IPT
virome_antarctic_lakes_2010	ANTABIF IPT
